date,precip_m,relative_humidity_percent,solar_rad_J_m2,temperature_K,wind_speed_m_s
01-01-2024,-6.51E-19,85.93222799,456117.375,283.3012695,1.356829181
02-01-2024,6.51E-19,88.06647602,423490.5313,282.5114441,1.455741705
03-01-2024,3.90E-07,89.60899928,392212.2813,282.5697021,0.91620573
04-01-2024,2.80E-06,88.18613732,336485.6563,284.56427,1.509740071
05-01-2024,9.35E-06,88.70119984,254273.3281,285.6586304,0.983928156
06-01-2024,1.04E-06,84.51140297,389944.9688,285.0640869,0.786644377
07-01-2024,-1.01E-18,84.15250729,449532.125,284.1028442,0.372766823
08-01-2024,-7.95E-19,87.91796867,454986.1563,284.0408936,1.351422974
09-01-2024,5.06E-19,86.73504404,487705.25,284.2115784,2.241841369
10-01-2024,-2.17E-19,83.76555234,520604.9063,282.9860229,2.800289396
11-01-2024,0,83.67621944,481068.0625,283.0482178,2.374626836
12-01-2024,2.89E-19,82.5778882,531772,283.2014465,1.971980315
13-01-2024,6.51E-07,85.99751387,380607.1563,283.1580505,1.100717016
14-01-2024,2.52E-07,83.1208088,484066.6563,282.1997986,1.928845451
15-01-2024,9.47E-08,83.79702592,457384.2188,281.6149597,1.32827127
16-01-2024,6.68E-07,86.28218549,482066.4063,281.9583435,1.52401591
17-01-2024,-5.78E-19,85.3419104,530124.0625,282.5306396,2.314603097
18-01-2024,7.23E-20,86.79459599,511363.875,284.0229187,0.887054019
19-01-2024,0,90.01505885,489322.25,282.5081482,1.295343255
20-01-2024,1.05E-06,85.39649954,477134.2188,282.8834534,1.134193133
21-01-2024,-3.61E-19,85.79583626,547776.25,282.5042419,2.638840186
22-01-2024,2.89E-19,85.47866503,506109.9375,282.4432068,0.662410778
23-01-2024,-2.17E-19,86.73006371,499621.7813,284.0487061,0.79458837
24-01-2024,2.89E-19,87.55151818,520753.3125,283.7566528,1.60315461
25-01-2024,-1.16E-18,87.35334911,488401.9375,283.5008545,0.815172648
26-01-2024,7.95E-19,80.99705699,537896.0625,284.7131958,1.279207479
27-01-2024,9.40E-19,68.73873944,565488.3125,286.5111084,2.821222635
28-01-2024,2.17E-19,83.61653126,423176.4063,286.2026672,2.107732482
29-01-2024,0,83.66120176,554194.3125,287.2526855,0.63666874
30-01-2024,0,86.98528851,544205.8125,287.2585144,0.773245206
31-01-2024,3.91E-04,92.73643709,333694.375,287.887146,2.048315548
